GID_GRUMP	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP
2815	496278|506763|524299|524305|546554|562245|795243	Gadzhiyevo|Kola|Murmansk|Murmashi|Polyarnyy|Severomorsk|Snezhnogorsk	441507	450692
2852	3153823	Harstad	19433	14540
2961	3144987	Narvik	14114	11227
3269	515698|525404	Monchegorsk|Olenegorsk	73538	70421
3425	543508	Kovdor	19518	21492
3436	548391|581357	Apatity|Kirovsk	90791	75451
3479	1486910|1486913	Vorgashor|Vorkuta	98985	122183
3502	506762	"Polyarnyye Zori"	15092	11348
3520	3160881	Bodo	34073	20967
3557	553190	Kandalaksha	38431	33227
3932	1500933	Labytnangi	27067	24987
3968	1493197	Salekhard	38025	23287
4026	638936	Rovaniemi	34781	37095
4122	3145614	"Mo i Rana"	17853	16174
4231	863061	Usinsk	44078	16736
4619	653281	Kemi	22641	40548
4621	2633274	Akureyri	17693	16340
4770	604490|606531	Boden|Lulea	63776	52789
4999	603570	Pitea	22044	20490
5041	511794	Pechora	46113	13887
5300	643492|652858|653252|658629	Haukipudas|Kempele|Kiiminki|Oulu	172278	164545
5423	5859699|5861897|5879898	Badger|College|Fairbanks	63981	79090
5498	543899	Kostomuksha	30135	25212
5562	602913	Skelleftea	30839	32150
5600	640276	Raahe	22217	19845
5678	518909|581049	Arkhangel'sk|Novodvinsk	398951	543162
5823	654899	Kajaani	35375	24206
5827	3421319	Nuuk	14798	13465
6001	630768	Ylivieska	13159	10366
6034	3413829|3415212|3416706|3417195	Gardabaer|Hafnarfjoerdur|Kopavogur|Reykjavik	188866	157596
6300	651943	Kokkola	35586	26101
6342	602150	Umea	74005	69253
6343	3136947	Steinkjer	20000	28326
6355	497927	Segezha	33354	27816
6394	642455|656130	Jakobstad|Pedersoere	29674	21692
6513	656820	Iisalmi	22588	15598
6603	479411|490391	Sosnogorsk|Ukhta	131530	112646
6923	2686469	Ornskoldsvik	27749	18996
7022	1496503	Noyabrsk	110000	88694
7086	3149312	Kristiansund	16785	19578
7171	2685750	Ostersund	42940	23081
7187	3133880|3136765	Stjordalshalsen|Trondheim	158555	211905
7257	632978|651299	Korsholm|Vaasa	74190	77252
7368	636947	Siilinjaervi	20209	30387
7539	650224	Kuopio	89104	42730
7610	3145580	Molde	18594	21862
7718	2707684	Haernoesand	17016	14057
7766	637219|644159|648855|650095|656739	Ilmajoki|Kurikka|Lapua|Nurmo|Seinaejoki	80469	58963
7861	662095	AEaenekoski	13406	11769
7934	647851|651659|655808	Joensuu|Kontiolahti|Liperi	77185	70962
7936	6185377	Yellowknife	15865	16266
8118	641869	Pieksaemaeki	12167	13781
8185	2669047|2670781	Sundsvall|Timra	58631	66427
8279	1496476	Nyagan	52137	73833
8291	632370	Varkaus	22365	26435
8373	545626	Kondopoga	34360	24565
8403	648738|655194	Jyvaeskylae|Laukaa	102119	129894
8527	2611396	Torshavn	13200	10971
8645	2013159|2020221	Markha|Yakutsk	247248	177597
8651	637292	Savonlinna	27353	16712
8694	656083	Jaemsae	15261	11132
8754	509820	Petrozavodsk	265025	233783
8813	490466	Sortavala	20760	21941
8886	516647	Nyandoma	22179	18521
8923	646005	Mikkeli	46550	35497
8949	485239|563379	Ezhva|Syktyvkar	286139	231113
8964	2704613	Hudiksvall	14621	19779
9188	633395|640999	Pori|Ulvila	89086	79597
9189	1490624	Surgut	300367	169465
9190	2720679	Bollnas	12145	13691
9226	6696767	Langepas	40000	50535
9227	2676224	Soderhamn	12022	17877
9273	630752|632672|634963|641489|644450|648366|654440	Kangasala|Lempaeaelae|Nokia|Pirkkala|Tampere|Valkeakoski|Yloejaervi	331881	244147
9283	470530|543704|544370	Koryazhma|Kotlas|Vychegodskiy	114730	107432
9284	632542	Vammala	14982	10808
9402	5861187|5879400|7262897	"Anchorage|Eagle River|Knik-Fairview"	331542	308867
9403	3147474	Lillehammer	19096	22226
9404	639734	Rauma	36550	33228
9413	475938	Vel'sk	26300	27910
9462	648900|655563|656688	Imatra|Joutseno|Lappeenranta	99494	78954
9464	645035|649360|657530|658288	Heinola|Hollola|Lahti|Nastola	154991	152438
9528	508034	Podporozh'ye	19600	20642
9595	659935	Forssa	17852	12864
9598	7290697	Izluchinsk	18000	99599
9653	633221	Uusikaupunki	16226	10216
9655	476062	"Velikiy Ustyug"	32642	14058
9738	650859|661164	Anjala|Kouvola	47912	79212
9739	3154084|3158300	Elverum|Hamar	41969	65032
9741	534560	"Lodeynoye Pole"	22164	21089
9760	470546	Vyborg	78633	35537
9812	3155573	Gjovik	17596	25458
9813	6180550	Whitehorse	23272	15755
9865	646723	Maentsaelae	18074	12673
10002	650946|654137|659169	Hamina|Karhula|Kotka	99195	60716
10124	2680075|2712414	Gavle|Sandviken	90746	96412
10135	3336587	Askoy	17224	18482
10304	637948	Salo	24900	27649
10407	633679|640124|642673|643153|645211|648056|655130	Kaarina|Lieto|Naantali|Paimio|Pargas|Raisio|Turku	272179	231425
10445	2715459|2720383	Borlaenge|Falun	75899	98420
10630	3149533	Kongsvinger	11181	11061
10631	631707|647751	Lohja|Vihti	62240	54032
10639	3161732|6697344	Bergen|Ytrebygda	237629	254814
10733	2724231	Avesta	14110	14197
10735	496275	Severoural'sk	33500	36037
10763	3041732	Mariehamn	10682	15059
10770	3151917	Honefoss	13678	16392
10777	632453|633591|637067|639406|644171|649630|653185|655958|656073|656913|658225|659180|660158|660561	Espoo|Haemeenlinna|Helsinki|Hyvinge|Jaervenpaeae|Janakkala|Kerava|Kirkkonummi|Nurmijaervi|Porvoo|Riihimaeki|Sibbo|Tuusula|Vantaa	1379035	1139043
10808	2693759	Ludvika	13638	20490
10809	540771	Kronshtadt	43005	43361
10865	2715656	Fagersta	10432	12118
10918	2680662	Sala	12015	12052
10986	472722	Volkhov	45673	53725
10988	2666199	Uppsala	127734	131477
11023	490172	"Sosnovyy Bor"	68563	73895
11074	3147822	Leirvik	11028	11901
11143	1486984|1502061|1504343	Karpinsk|Krasnotur'insk|Volchansk	103073	102234
11197	483019	Tikhvin	62075	54679
11198	2725123	Arvika	13666	13753
11199	2716166	Enkoping	19733	19034
11244	2708429	Hallstahammar	10300	18209
11245	3162651	Askim	12482	29699
11251	2664454	Vasteras	107194	110074
11280	1492663	Serov	98438	115996
11336	509598	Pikalevo	22072	24949
11337	461698|463830|471101|478724|481964|487227|489226|490377|493316|493970|496478|496519|498817|500019|504003|510225|510291|512052|512566|513471|513898|517577|519711|521509|527361|534341|535729|537127|539061|542000|545788|546055|546105|546225|548392|556575|55	"Admiralteisky|Akademicheskoe|Avtovo|Centralniy|Chernaya Rechka|Dachnoye|Finlyandskiy|Gatchina|Gorelovo|Grazhdanka|Imeni Morozova|Kalininskiy|Kirovsk|Kolomyagi|Kolpino|Koltushi|Komendantsky aerodrom|Kommunar|Krasnogvargeisky|Krasnoye Selo|Krestovskiy ostr"	8896511	4132433
11341	2123628	Magadan	95282	112368
11449	491281	Sokol	42174	47096
11526	548602	Kingisepp	50566	52335
11527	2699791|2725471	Arboga|Koping	26986	29545
11528	2696334	Lidingoe	43000	36691
11529	590031	Narva	66980	58287
11530	2671392	Strangnas	12555	11967
11573	588686	Sillamae	16672	19431
11620	589165	Rakvere	16736	22856
11621	591260|591893	Johvi|Kohtla-Jarve	57529	72651
11622	588409|590447	Maardu|Tallinn	410654	458957
11623	2715953	Eskilstuna	59016	70177
11648	2699282	Kristinehamn	17836	17831
11665	491023|577206	Berezniki|Solikamsk	268560	241318
11672	2677456|2701680	Karlstad|Skoghall	72111	86115
11720	2701715	Karlskoga	26949	26366
11784	3153623	Haugesund	40321	70678
11874	472459	Vologda	314900	310766
11876	492162	Slantsy	36209	28951
11982	569223	Cherepovets	315738	329634
12011	2665452|2666238|2667094|2667109|2669772|2670879|2673730|2675397|2675408|2676176|2679567|2683034|2685828|2690580|2692475|2700791|2703396|2704620|2707953|2708016|2719111|2721259|2723567|2725201|2727234|7931985	"Akersberga|Alby|Arsta|Balsta|Boo|Bromma|Handen|Haninge|Huddinge|Jakobsberg|Kista|Marsta|Nacka|OEstermalm|Rasunda|Segeltorp|Soedertaelje|Sollentuna|Solna|Stockholm|Sundbyberg|Taby|Tullinge|Tumba|Upplands Vaesby|Vallentuna"	2121525	1486204
12044	2686657|2698767	Kumla|Orebro	111329	99649
12056	3134331|3139075|3139081|3140084|3140390|3142657|3143244|3145375|3147465|3148129|3149563|3150851|3154209|3156529|3159016|3336585	Drammen|Fredrikstad|Halden|Jessheim|Kongsberg|Larvik|Lillestrom|Moss|Nesoddtangen|Oslo|Porsgrunn|Sandefjord|Sarpsborg|Ski|Skien|Tonsberg	1109212	1431527
12094	2701223	Katrineholm	21108	21226
12122	539817	Kudymkar	31596	36652
12144	592225	Haapsalu	11805	11668
12209	2687636	Nynashamn	13616	15629
12280	547875|558209	Gubakha|Kizel	48412	62814
12363	533690	Luga	40114	43162
12365	2714903	Finspang	12415	12734
12373	2692613	Mariestad	14891	15014
12377	477340|491882	Slobodskoy|Vakhrushi	42691	12919
12401	2684653|2687700	Nykoping|Oxelosund	38272	41683
12444	515267	Omutninsk	25364	30902
12502	520204|554599|829005	"Kachkanar|Lesnoy|Nizhnyaya Tura"	90417	81675
12572	2690960	Motala	29715	29969
12595	519336	"Velikiy Novgorod"	215062	233631
12604	2688368	Norrkoping	82903	91182
12677	565778	Dobryanka	36972	16669
12678	2696329	Lidkoping	24586	26971
12687	570508	Buy	26486	30675
12695	532860|548395|548408|6267009	Kirov|Kirovo-Chepetsk|Lyangasovo|Raduzhnyy	571053	754165
12704	3137115|3140321	Sandnes|Stavanger	184642	220507
12762	589580	Parnu	44192	53565
12763	562161	Galich	18594	21566
12768	473903|495619	Shar'ya|Vetluzhskiy	43029	28243
12780	587577	Viljandi	20309	25427
12786	3162955	Arendal	30916	58503
12838	572154	Borovichi	56571	65439
12839	588335	Tartu	101092	112957
12840	2691743|2694762	Linkoping|Mjolby	108292	114297
12841	5554072	Juneau	31275	30381
12845	2677234	Skoevde	33119	37202
12855	529505	Manturovo	18817	22590
12893	543737	Kotel'nich	27600	33566
12895	567434	Chusovoy	50205	58748
12925	590939	Kuressaare	14921	14964
12950	1502862	Kolpashevo	27876	30165
12977	2666670	Uddevalla	30282	32494
12985	2665171|2667303	Trollhattan|Vanersborg	66357	68020
13014	2715568	Falkoeping	15821	15298
13045	1502060|474462|538340|579266	"Baranchinskiy|Krasnoural'sk|Kushva|Verkhnyaya Tura"	82893	76376
13081	561347	Glazov	100676	107985
13084	3132208|3149318	Kristiansand|Vennesla	74745	104104
13101	1489530	Tobol'sk	113800	103718
13102	1500607	Lesosibirsk	65945	63717
13124	475777	Vereshchagino	22451	26722
13142	532675	Lys'va	68660	66566
13149	2667628	Tranas	13765	13780
13151	1489962	Tavda	39480	46260
13193	1487277|1497393	"Nizhnyaya Salda|Verkhnyaya Salda"	66465	75656
13201	500004	Rybinsk	216724	242105
13211	489088	"Staraya Russa"	34303	43580
13220	1488933	Turinsk	18555	23333
13245	452949	Udomlya	32373	35703
13263	2726756	Alingsas	24826	22217
13271	2013952	Ust'-Ilimsk	100271	82666
13290	520494	"Nizhniy Tagil"	381116	486666
13292	587450	Voru	14631	18778
13309	575349	Bologoye	25142	35792
13322	511196|516576|542327	Krasnokamsk|Nytva|Perm	1055633	963671
13347	1487272|1511954	"Alapayevsk|Verkhnyaya Sinyachikha"	54964	50752
13356	576566	Bezhetsk	28114	31969
13374	587876	Valga	13945	21498
13384	504341	Pskov	201990	216380
13425	2664203	Vaestervik	20694	19363
13475	543878	Kostroma	277656	297736
13524	2702979|2704136	Huskvarna|Jonkoping	104702	91095
13574	1505526|6853140	Irbit|Lesnoy	96747	51030
13576	496012	Shakhun'ya	22400	25131
13584	2720501	Boras	63223	75504
13594	2690170	Nassjo	15954	16349
13651	2662689	Visby	21970	22791
13710	470252	"Vyshniy Volochek"	53800	63326
13712	453754	Valmiera	26963	34258
13718	2700839	Kinna	14210	16502
13733	479532	Uglich	37732	39926
13747	468902|480122	Tutayev|Yaroslavl	650558	648849
13769	464112|523161|548605	Kineshma|Navoloki|Zavolzhsk	116781	85574
13772	2640351	Peterhead	17627	42237
13808	2667809|2673875|2684395|2691440|2691459|2694831|2696503|2698729|2698739|2711537|6619708|6943587	Goeteborg|Kungalv|Kungsbacka|Lerum|Lindome|Majorna|Moelndal|Molnlycke|Onsala|Partille|Stenungsund|Torslanda	736486	741248
13820	2620214	Hjorring	24634	32676
13822	539147	Kungur	66389	80444
13823	2663293	Vetlanda	12068	15508
13825	557469	Igra	22033	26321
13834	454310	Ventspils	42644	42823
13854	2621927	Frederikshavn	24103	31688
13863	1493648	Rezh	39216	44508
13883	514171	Ostrov	24500	30982
13884	460570	Cesis	18198	27029
13890	2712045	Gislaved	10091	10321
13902	2623337	Bronderslev	11671	13579
13912	561762	Gavrilov-Yam	18618	21270
13915	1508715|1511368	Artemovskiy|Bulanash	46756	43354
13923	469005	Yaransk	19557	23108
13951	562309	Furmanov	38380	44473
13954	514706	Osa	23292	23410
13955	1497795|1503335|1538636|474821	"Kirovgrad|Nev'yansk|Novoural'sk|Verkhniy Tagil"	154792	96626
13961	454970	Talsi	12022	16335
14007	473788	Vichuga	39071	48396
14008	2664855	Varnamo	17950	17530
14009	2686162	Oskarshamn	16613	17636
14010	501183	Rostov	33803	37959
14021	455718	Sigulda	10422	14517
14079	501730	Rodniki	27681	32684
14164	2664996	Varberg	25816	28746
14179	481985	Torzhok	48546	52954
14231	2657832|6640068	Aberdeen|Westhill	194182	287247
14232	458460	Kuldiga	13289	16871
14235	454768	Tukums	18348	22338
14238	471430	Votkinsk	98633	108374
14246	1493687|1511330	Asbest|Reftinskiy	92256	98727
14251	2611755	Thisted	13020	13569
14274	546672|555312	Ivanovo|Kokhma	449823	468739
14287	2624886	Aalborg	122219	151352
14304	1490140	Tara	26986	27687
14312	2715573	Falkenberg	18407	18360
14313	2663536	Vaexjoe	59600	49207
14318	483137	Teykovo	36015	40988
14320	493231	Shuya	60705	71145
14327	2694560	Ljungby	14272	16151
14329	1487086|1488754|1508879	Borovskiy|Tyumen|Vinzili	545744	539085
14333	1504769	Kamyshlov	28006	33666
14335	548652	Kimry	52070	55367
14357	480060	Tver	400212	475889
14358	497450	Semenov	24300	28311
14359	455898|456172|457052|457065|459201|460885	Bolderaja|Jurmala|Ogre|Olaine|Riga|Salaspils	868381	939572
14368	1485445|1510451	Beloyarskiy|Zarechnyy	40196	31039
14372	2687902	Nybro	12059	12255
14379	564719	Dubna	60604	136346
14391	554840	Izhevsk	631038	708920
14393	2013923	Ust'-Kut	48202	25678
14413	545673	Konakovo	42239	47001
14435	511359	Pereslavl'-Zalesskiy	40283	65934
14465	455890	Saldus	12224	20632
14467	459279	Jelgava	61791	79394
14468	2620167	Hobro	11064	10634
14469	460312	Dobele	11225	17392
14470	1490686|1509888	"Bogdanovich|Sukhoy Log"	68599	76765
14480	464101|559678	Gorodets|Zavolzh'ye	74688	60558
14481	569742	Chaykovskiy	86712	92959
14482	1486209|1487281|1490277|1491159|1510203|1511466|502011|510808	"Aramil|Beryozovsky|Pervoural'sk|Revda|Sredneuralsk|Talitsa|Verkhnyaya Pyshma|Yekaterinburg"	1705724	1897788
14483	1486468	Yalutorovsk	35892	39941
14517	542199	Krasnoufimsk	43121	47539
14519	2613731	Skive	20815	21544
14528	2702261	Kalmar	34744	33352
14529	457776	Ludza	10514	12343
14550	466806|528056	Medvedevo|Yoshkar-Ola	295507	314878
14587	456202	Rezekne	38340	45615
14588	454432|457954	Liepaja|Vec-Liepaja	170392	95045
14590	2612204	Struer	11317	12365
14591	459283	Jekabpils	27078	33330
14612	466215	Yur'yev-Pol'skiy	19906	22148
14621	1485357	Zavodoukovsk	25682	28426
14673	2615006	Randers	55780	60405
14674	2610319	Viborg	34831	33077
14675	524699	Mozhga	47270	52005
14676	2653704|2657215	Arbroath|Carnoustie	32791	193768
14682	568608	Chernushka	35942	38193
14683	1494573	Polevskoy	65770	74985
14691	2621230	Grenaa	14317	14168
14699	2012557	Zheleznogorsk-Ilimskiy	28456	34431
14711	498687	Sarapul	98830	111179
14719	461114	Bauska	10532	18261
14720	2640358	Perth	43633	56352
14722	2620046	Holstebro	32072	34714
14724	2638864	"Saint Andrews"	15435	28841
14728	457860	Livani	10073	11767
14733	2708365	Halmstad	55657	76780
14761	543018	Koz'modem'yansk	22700	26224
14763	1489425|1538637	Seversk|Tomsk	595363	636031
14773	476077	"Velikiye Luki"	103149	113349
14774	597188	Mazeikiai	41309	41977
14776	596719	"Naujoji Akmene"	11922	12249
14777	487095|552977|582978|583350	Aleksandrov|Aleksandrow|Karabanovo|Strunino	157899	72016
14779	470083|547523	Klin|Vysokovsk	91550	94863
14780	469655|565955	Dmitrov|Yakhroma	74273	85506
14781	546521	Kol'chugino	45912	49192
14806	1504826	Kamensk-Ural'skiy	182500	200600
14817	496638|541950|549373|6931086	"Khot'kovo|Krasnozavodsk|Peresvet|Sergiyev Posad"	156818	249660
14860	543460|553389	Kameshkovo|Kovrov	168159	166593
14862	499717	Rzhev	62246	73544
14870	2725901	AEngelholm	23240	24185
14879	598796	Joniskis	11113	11190
14886	600438	Birzai	14911	15079
14925	469178	Yanaul	27963	30981
14931	2681825|2701713	Karlskrona|Ronneby	43927	49792
14958	470734|490276|539689	"Kukmor|Sosnovka|Vyatskiye Polyany"	68683	75463
14959	1499350	Mariinsk	43122	42295
14960	1509852	Bogotol	23622	27143
14961	1512165	Achinsk	117634	112537
14968	2701727	Karlshamn	18161	23490
14972	470666	Vyazniki	39243	44994
15007	2707399	Hassleholm	17050	17196
15029	1504682	Kansk	101502	111021
15030	5955960	"Fort St. John"	17402	16608
15031	2619426|2620425	Herning|Ikast	59455	64216
15032	548278	Kirzhach	30566	26302
15035	2614030	Silkeborg	41674	43784
15089	472494|520555|524504|540103|563708|572665|575560|579514	"Bogorodsk|Bor|Dzerzhinsk|Kstovo|Mulino|Nizhniy Novgorod|Novaya Balakhna|Volodarsk"	1790700	2237544
15090	2013399|2051523	Bratsk|Vikhorevka	279100	299610
15107	518976|539794|569696	Cheboksary|Kugesi|Novocheboksarsk	586796	675608
15108	1489907	Tayga	24328	41340
15112	522410	Nevel'	17832	21932
15127	532715	Lyskovo	23570	27060
15150	1487394	"Verkhniy Ufaley"	33245	38892
15151	1536289	Snezhinsk	50086	33977
15153	1492517	Shadrinsk	79479	93022
15154	1505453	Ishim	67762	65944
15155	1511494	Anzhero-Sudzhensk	82526	149666
15211	473247|491480|537107|7117885	Lakinsk|Raduzhnyy|Sobinka|Vladimir	364999	506232
15212	597769	Kursenai	13914	14048
15213	2621910	Frederiksvaerk	12176	13807
15214	593926	Telsiai	30098	31170
15215	2613887|2615886|2624652	Arhus|Odder|Skanderborg	262103	294620
15219	595213	Rokiskis	16255	16587
15226	522942	Neftekamsk	126805	127709
15256	2699310	Kristianstad	32188	58968
15309	471760|827329	Pavlovo|Vorsma	75700	74973
15313	1486031|1491291|1502026|1507379|1510255|1538635|1538639	Berezovka|Divnogorsk|Krasnoyarsk|Solnechnyy|Sosnovoborsk|Yemel'yanovo|Zheleznogorsk	1125038	1092129
15318	1497951	Nazarovo	55252	67375
15322	596238|597989	Kretinga|Palanga	40032	34593
15323	595689	Plunge	23381	23013
15324	555746	Istra	33390	33462
15326	458623	Kraslava	11088	13456
15362	2697720|2706003|2706767	Helsingborg|Hoganas|Landskrona	132375	131683
15379	1489870	Tayshet	37766	45082
15397	460413	Daugavpils	111564	126413
15401	594739	Siauliai	130587	139154
15404	2619771	Horsens	50074	48980
15406	2715946	Eslov	15898	15446
15426	1488253|1508943	Borodino|Zelenogorsk	90956	59308
15457	595449	Radviliskis	20339	20133
15537	5935804	"Dawson Creek"	10802	15081
15538	596128	Panevezys	117395	123721
15540	507599|515024|535243|565007	Drezna|Likino-Dulevo|Orekhovo-Zuyevo|Pokrov	178353	163721
15542	6165406	Thompson	12467	14660
15556	2620147	Holbaek	24544	25023
15557	501320	Roshal'	21951	23884
15569	2619154	Kalundborg	15939	14938
15573	1485724	Yurga	84220	89306
15599	598098|599506	Gargzdai|Klaipeda	208740	224085
15603	463835|472234|543133|551487|611182	Kazan|Kozlovka|Vasil'yevo|Volzhsk|Zelenodolsk	1290838	1554625
15605	598257	Kelme	10626	10775
15608	2610726	Varde	12735	13512
15612	1500997|1538634	Kyshtym|Ozersk	122648	73507
15659	557775	Gus'-Khrustal'nyy	62746	78132
15660	593063	Visaginas	28348	25178
15662	495518	Shatura	30069	33067
15665	538601|566950	Davydovo|Kurovskoye	29779	21472
15674	562237	Gagarin	28879	32683
15696	600994	Anyksciai	11958	11824
15707	468082|521118|523750|527579	"Mendeleyevsk|Naberezhnyye Chelny|Nizhnekamsk|Yelabuga"	839779	883089
15737	2622447	Esbjerg	72205	76662
15738	524712	Mozhaysk	31557	31826
15740	523198|524294	Murom|Navashino	144482	117046
15741	496802	Sergach	22361	26719
15743	493463	Shumerlya	35220	43197
15744	2616933	Middelfart	13596	17256
15758	593672	Utena	33240	33438
15788	553216	Kanash	49886	59651
15809	563719	Dyurtyuli	31087	32587
15818	2662149	Ystad	17266	17675
15829	1492401|1507172	Dubinino|Sharypovo	54614	46162
15832	2610613|2618528|2620583|2621951	Fredericia|Hedensted|Kolding|Vejle	153534	167942
15833	2610789|2611828|2611862|2612629|2613233|2614481|2614600|2617626|2617658|2618415|2618425|2618468|2619377|2619528|2619856|2620320|2620473|2621215|2621356|2621912|2621942|2622061|2622306|2622418|2622937|2624112|2624341|2624906	"Albertslund|Ballerup|Birkerod|Copenhagen|Dragor|Espergaerde|Farum|Flong|Frederiksberg|Frederikssund|Glostrup|Greve|Helsingor|Hillerod|Horsholm|Hvidovre|Ishoj|Koge|Kongens Lyngby|Lillerod|Rodovre|Roskilde|Solrod Strand|Stenlose|Taastrup|Tarnby|Vaerlose|Va"	1880035	1558609
15836	2614764	Ringsted	20188	18014
15842	623317|624784	Navapolatsk|Polatsk	183143	177616
15867	539555	Kulebaki	37622	41525
15882	2674649|2692969|2693678|2701096|2705402	Hollviken|Kaevlinge|Lund|Malmoe|Staffanstorp	375867	409359
15911	523426	Naro-Fominsk	72632	44866
15912	2613460	Slagelse	31896	30814
15914	2667402	Trelleborg	25494	24264
15915	595378	Raseiniai	12523	12402
15916	468250	Yegor'yevsk	85200	77391
15919	567990	Chistopol'	62200	71109
15929	2633765|2634137|2635442|2636910|2638648|2638926|2639104|2639495|2639896|2640155|2640465|2640677|2641544|2641942|2642135|2642484|2644204|2644444|2644853|2644860|2644867|2645261|2645298|2645541|2645605|2645951|2652696|2652730|2653756|2654415|2654480|265521	Airdrie|Alexandria|Alloa|Ardrossan|Ayr|Barrhead|Bathgate|Bearsden|Bellshill|Bishopbriggs|Bo'ness|Bonnyrigg|Broxburn|Buckhaven|Carluke|Clydebank|Coatbridge|Erskine|Johnstone|Kilmarnock|Kilwinning|Kirkcaldy|Kirkintilloch|Larbert|Largs|Larkhall|Linlithgow|L	999376	3334710
15932	2618361	Korsor	15029	10776
15935	538442	Kusa	19818	22444
15943	594656	Silute	21760	21134
15948	1501141|1510916	Barabinsk|Kuybyshev	79816	72521
15985	461740|461835|462745|462755|463355|463829|465057|468809|470451|471456|471457|471501|472072|472079|472732|473021|473127|473778|473972|476368|477377|479640|481453|481608|482260|483551|483826|484912|485630|487150|489162|490971|491250|491280|491895|492448|49	"Alekseyevka|Altuf'yevskiy|Amin'yevo|Andreyevskoye|Annino|Aprelevka|Babushkin|Balashikha|Bibirevo|Biryulevo|Biryulevo Zapadnoye|Bogorodskoye|Bol'shaya Setun'|Bolshevo|Brateyevo|Businovo|Bykovo|Cheremushki|Chertanovo Yuzhnoye|Davydkovo|Dedovsk|Dolgoprudnyy"	21899781	14849355
16001	580724	Arzamas	109479	160195
16007	598272	Kedainiai	31980	31765
16025	2616015	Nyborg	15826	15821
16028	470444	Vyksa	61664	66795
16029	465543	Zainsk	42044	45501
16038	1501321	Kurgan	343129	482496
16056	471656|534174	Lopatinskiy|Voskresensk	91305	85203
16058	2620964	Haderslev	20825	23126
16060	593959	Taurage	27662	28806
16061	593733	Ukmerge	25886	28487
16083	1491999	Shumikha	18499	22450
16085	1489508	Toguchin	21886	25104
16086	1489394|1503901|1503940|1510205	Berezovskiy|Kedrovka|Kemerovo|Topki	580414	627655
16107	1490003	Tatarsk	25150	32164
16118	2616038	Naestved	40660	39152
16138	569591	Chekhov	75643	85998
16139	2615876	Odense	145931	245794
16144	470676	Vyaz'ma	55500	63120
16188	623760	Pastavy	20218	12453
16189	499452	Safonovo	46637	56054
16193	2614553	Ronne	13890	22391
16200	598655	Jurbarkas	13102	13630
16201	598818	Jonava	34993	34614
16210	546230	Kolomna	147690	160733
16221	620127	Vitebsk	342700	344763
16237	467238|516436|572070|579529	Balabanovo|Borovsk|Obninsk|Yermolino	153302	153342
16272	490068|522742	Neman|Sovetsk	55816	64888
16273	2625070	Aabenraa	16344	24205
16274	468866	Yartsevo	52706	59940
16281	2612045	Svendborg	27553	34015
16302	530849	Maloyaroslavets	32669	29714
16304	1505074	Kalachinsk	24059	27026
16317	580660	Asha	33006	28339
16347	2643734|2643736|2644501	"Derry|Limavady|Londonderry County Borough"	183775	112647
16372	2962961	Letterkenny	16901	16824
16379	1508350	Chebarkul'	46502	53292
16420	533543	Lukhovitsy	32387	34822
16421	1498894|462444	Miass|Zlatoust	358866	383551
16430	551891	Kasimov	35355	39132
16434	5964347	"Grande Prairie"	41462	53504
16436	498418|579738	Bakal|Satka	71146	75147
16438	478071	Ust'-Katav	25046	63063
16442	2613102	Sonderborg	27033	43868
16466	2656490	Ballymena	28932	41486
16491	496527|504576|541235	Kremenki|Protvino|Serpukhov	177481	213961
16499	2653775	Carlisle	72633	75033
16503	1520172	Petropavlovsk	200920	132657
16520	513378	Ozery	25900	29763
16521	583437	Alatyr'	42156	49518
16522	2644849	Larne	18421	17488
16531	2616599	Nakskov	14081	18455
16544	598316|599504|601138|6618486|9610004|9610008	"Aleksotas|Dainava (Kaunas)|Eiguliai|Garliava|Kaunas|Silainiai"	585022	396823
16560	1497549	Nizhneudinsk	38723	10951
16579	1496153	Omsk	1129281	1326864
16594	486968|513362|551964	Kashira|Ozherel'ye|Stupino	111701	114127
16596	2636744	Strabane	14198	18307
16599	464687	Zaraysk	24637	27040
16600	2910302|2926271	Flensburg|Harrislee	97434	151269
16610	599602	Elektrenai	13721	19292
16611	466200|551794|830844	Katav-Ivanovsk|Trekhgornyy|Yuryuzan'	67263	15788
16637	2615961	"Nykobing Falster"	16807	14681
16656	1486039|1493511|1496738|1502536|1502603|1506258|1508291|1540852|1540882	Bazhovo|Chelyabinsk|Gornyak|Kopeysk|Korkino|Novosineglazovskiy|Roza|Starokamyshinsk|Yemanzhelinsk	1269346	1631534
16658	1496421|1496747|1502091|1510350|1512086	Akademgorodok|Berdsk|Krasnoobsk|Novosibirsk|Ob'	1600389	1820855
16669	520318|582432	"Al'met'yevsk|Nizhnyaya Maktama"	151037	147890
16703	485660	Svetlyy	22119	38172
16718	593153	Vilkaviskis	13011	13130
16742	2609906	Baltiysk	34540	41314
16782	595596	Prienai	11352	14138
16798	568595	Chernyakhovsk	45187	45763
16799	491687	Smolensk	320991	293796
16851	2640967	Omagh	21056	21496
16875	593116|597532|599161	Grigiskes|Lentvaris|Vilnius	565509	511936
16876	554234|557906	Gur'yevsk|Kaliningrad	446428	500598
16877	557882	Gusev	28690	29666
16878	536162	Leninogorsk	66263	72499
16881	3082756	Ustka	16250	17681
16894	3093739	Lebork	35161	39611
16914	597231	Marijampole	47613	48199
16942	571170	Bugul'ma	91900	99830
